Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft),Cycle4 (Bef),Cycle4 (Aft),Cycle5 (Bef),Cycle5 (Aft),Cycle6 (Bef),Cycle6 (Aft),Cycle7 (Bef),Cycle7 (Aft),Cycle8 (Bef),Cycle8 (Aft),Cycle9 (Bef),Cycle9 (Aft),Cycle10 (Bef),Cycle10 (Aft),Cycle11 (Bef),Cycle11 (Aft)
93,-25,-25,-25,-25,-25,-25,-19,-17,-2,-2,3,0,-1,0,0,-1,2,2,4,4,-13,-13,-18,-18
94,-19,-19,-21,-21,-20,-20,-13,-13,1,1,-3,-3,-3,-3,-4,-4,-3,-3,-8,-8,-20,-20,-26,-26
95,-9,-9,-9,-9,-9,-9,-2,-2,1,1,-10,-10,-13,-13,-13,-13,-1,-5,-3,-3,-12,-12,-11,-11
96,-18,-18,-17,-17,-18,-18,-16,-16,-8,-8,-5,-5,-5,-3,-3,0,-2,-2,-2,-2,-5,-5,-9,-9
97,-11,-11,-11,-11,-8,-8,-5,-5,-2,-2,-10,-10,-12,-12,-19,-19,-19,-19,-13,-13,-13,-13,-14,-14
98,-36,-36,-39,-39,-39,-39,-33,-28,-11,-11,-9,-9,-7,-7,-14,-12,2,-1,2,2,0,0,1,1
99,-10,-10,-11,-11,-10,-10,-9,-9,-9,-9,-10,-10,-9,-9,-7,-7,2,-2,10,6,-7,-7,-3,-3
100,-15,-15,-15,-15,-15,-15,-13,-13,-13,-13,-17,-17,-16,-16,-16,-16,-10,-10,-5,-5,-8,-8,-10,-10
101,-15,-15,-14,-14,-14,-14,-6,-6,-13,-13,-34,-34,-28,-28,-22,-22,-5,-5,18,11,3,3,0,0
102,-11,-11,-10,-10,-10,-10,-6,-1,-1,-1,-15,-15,-10,-10,-11,-11,0,-1,-6,-6,-2,-2,-3,-3
103,-12,-12,-12,-12,-12,-12,-6,-6,3,2,1,1,3,1,3,-2,0,0,2,2,-7,-7,-6,-6
104,-22,-22,-22,-22,-21,-21,-3,-21,17,17,-22,-22,-25,-25,-31,-31,-5,4,3,3,-4,-4,-8,-8
105,-18,-18,-21,-21,-21,-21,-17,-17,-9,-7,-5,-1,0,0,3,1,0,1,3,3,-1,-1,-5,-5
106,-14,-14,-14,-14,-14,-14,-13,-13,-16,-16,-19,-19,-24,-24,-29,-29,-26,-26,-14,-14,-13,-13,-15,-15
107,-13,-13,-14,-14,-14,-14,-7,-9,8,8,-9,-9,-12,-12,-13,-8,-5,-8,1,1,-12,-12,-10,-10
108,-20,-20,-20,-20,-20,-20,-20,-20,-24,-24,-69,-69,-80,-80,-82,-82,-61,-58,-47,-47,-61,-61,-61,-61
109,-37,-37,-39,-39,-39,-39,-39,-39,-47,-47,-105,-105,-113,-113,-124,-124,-107,-107,-76,-76,-65,-65,-54,-54
110,-11,-11,-11,-11,-11,-11,-7,-7,-1,-1,2,0,0,0,0,-1,-1,-1,-3,-3,-11,-11,-12,-12
111,-19,-19,-19,-19,-19,-19,-21,-21,-19,-19,-9,-9,-6,-6,-1,-4,-1,-3,-1,-1,-12,-12,-13,-13
112,-29,-29,-29,-29,-29,-29,-29,-28,-44,-44,-43,-43,-42,-42,-41,-41,-13,-13,-18,-18,-27,-27,-27,-27
113,-12,-12,-14,-14,-14,-14,-12,-12,-7,-7,-7,-7,-6,-6,-6,-6,-2,-2,-3,-3,-6,-6,-7,-7
114,-15,-15,-15,-15,-15,-15,-12,-5,0,0,-5,-5,-4,-4,-3,-3,-1,-1,0,0,-4,-4,-7,-7
115,-23,-23,-22,-22,-22,-22,-21,-21,-23,-23,-51,-51,-47,-47,-47,-47,-36,-33,-16,-16,-15,-15,-16,-16
116,-13,-13,-14,-14,-14,-14,-15,-15,-20,-20,-30,-30,-23,-23,-21,-21,-9,-9,0,0,-9,-9,-12,-12
117,-17,-17,-17,-17,-17,-17,-11,-11,-1,-1,-5,-3,-4,-4,-4,-4,-9,-9,-11,-11,-13,-13,-17,-17
118,-9,-9,-9,-9,-9,-9,-7,-7,-6,-6,-21,-21,-20,-20,-20,-20,-14,-14,-7,-7,-14,-14,-16,-16
119,-12,-12,-12,-12,-12,-12,-6,-6,-1,-1,-11,-11,-14,-14,-16,-16,-11,-11,-3,-3,-8,-8,-11,-11
120,-11,-11,-11,-11,-11,-11,-10,-10,-26,-26,-39,-39,-38,-38,-40,-40,-29,-29,-27,-27,-30,-30,-30,-30
121,-15,-15,-15,-15,-15,-15,-12,-12,-8,-8,-15,-15,-9,-9,-14,-14,-4,-4,-8,-8,-12,-12,-13,-13
122,-15,-15,-16,-16,-16,-16,-14,-14,-21,-21,-33,-33,-30,-30,-29,-29,-15,-15,-6,-6,-14,-14,-15,-15
123,-12,-12,-12,-12,-12,-12,-8,-8,-6,-6,-13,-13,-12,-12,-10,-2,0,-2,-1,-1,-3,-3,-7,-7
124,-14,-14,-14,-14,-14,-14,-12,-12,-9,-9,-16,-16,-16,-16,-15,-15,-10,-10,-7,-7,-9,-9,-8,-8
125,-13,-13,-14,-14,-14,-14,-12,-12,-5,-5,-8,-8,-11,-11,-13,-10,-2,-2,0,0,-3,-3,-7,-7
126,-36,-36,-36,-36,-36,-36,-34,-34,-40,-40,-82,-82,-78,-78,-77,-77,-47,-47,-35,-35,-36,-36,-33,-33
127,-11,-11,-11,-11,-11,-11,-10,-10,-22,-22,-31,-31,-32,-32,-32,-32,-21,-21,-21,-21,-23,-23,-24,-24
128,-15,-15,-15,-15,-15,-15,-10,-7,-9,-9,-12,-12,-14,-14,-10,-10,-13,-13,-9,-9,-8,-8,-12,-12
129,-12,-12,-12,-12,-12,-12,-12,-12,-13,-13,-27,-27,-25,-25,-28,-28,-18,-18,-16,-16,-22,-22,-17,-17
130,-15,-15,-15,-15,-15,-15,-13,0,-2,-2,-19,-19,-17,-17,-14,-14,8,-4,-1,-1,-11,-11,-11,-11
131,-10,-10,-11,-11,-11,-11,-8,-8,-3,-3,-5,-5,-5,-5,-6,-3,-3,-3,-7,-7,-9,-9,-9,-9
132,-22,-22,-20,-20,-21,-21,-18,-18,-4,-4,-27,-27,-27,-27,-30,-30,-23,-23,-6,-6,-13,-13,-18,-18
133,-12,-12,-12,-12,-12,-12,-10,-10,-2,-2,-16,-16,-13,-13,-13,-9,-1,-3,-2,-2,-8,-8,-10,-10
134,-14,-14,-14,-14,-14,-14,-12,-12,-6,-6,-3,-3,-3,-3,-1,-1,0,1,0,0,-15,-15,-18,-18
