Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft)
432,-15,-15,-17,-17
433,-22,-22,-24,-24
435,-15,-15,-19,-19
436,-24,-24,-22,-22
437,-18,-18,-20,-20
439,-15,-15,-17,-17
440,-23,-23,-24,-24
441,-16,-16,-16,-16
442,-16,-16,-17,-17
443,-20,-20,-18,-18
444,-15,-15,-16,-16
445,-19,-19,-15,-15
446,-17,-17,-15,-15
447,-37,-37,-39,-39
448,-24,-24,-25,-25
449,-23,-23,-29,-29
450,-19,-19,-22,-22
451,-11,-11,-11,-11
452,-15,-15,-12,-12
453,-15,-15,-16,-16
454,-14,-14,-15,-15
455,-11,-11,-10,-10
456,-23,-23,-22,-22
457,-19,-19,-12,-12
458,-19,-19,-18,-18
459,-11,-11,-13,-13
460,-23,-23,-24,-24
462,-30,-30,-32,-32
463,-15,-15,-15,-15
464,-17,-17,-18,-18
465,-18,-18,-19,-19
466,-13,-13,-19,-19
467,-11,-11,-13,-13
468,-16,-16,-17,-17
469,-29,-29,-30,-30
470,-32,-32,-36,-36
471,-13,-13,-14,-14
472,-14,-14,-15,-15
473,-13,-13,-12,-12
474,-27,-27,-27,-27
475,-39,-39,-38,-38
476,-20,-20,-20,-20
477,-25,-25,-25,-25
478,-13,-13,-15,-15
479,-13,-13,-12,-12
480,-17,-17,-17,-17
481,-24,-24,-24,-24
482,-18,-18,-18,-18
483,-23,-23,-26,-26
484,-16,-16,-14,-14
485,-16,-16,-20,-20
486,-24,-24,-21,-21
487,-16,-16,-15,-15
488,-15,-15,-16,-16
489,-23,-23,-23,-23
490,-31,-31,-31,-31
491,-30,-30,-30,-30
492,-43,-43,-37,-37
494,-25,-25,-24,-24
495,-27,-27,-30,-30
496,-27,-27,-28,-28
497,-18,-18,-17,-17
498,-27,-27,-28,-28
499,-25,-25,-25,-25
500,-28,-28,-30,-30
501,-16,-16,-17,-17
503,-24,-24,-24,-24
504,-21,-21,-20,-20
505,-20,-20,-22,-22
506,-16,-16,-16,-16
507,-21,-21,-22,-22
508,-12,-12,-12,-12
509,-13,-13,-14,-14
510,-27,-27,-26,-26
511,-23,-23,-25,-25
512,-21,-21,-21,-21
513,-34,-34,-38,-38
514,-11,-11,-11,-11
515,-16,-16,-18,-18
516,-11,-11,-12,-12
517,-11,-11,-11,-11
518,-21,-21,-20,-20
519,-23,-23,-23,-23
520,-14,-14,-18,-18
521,-13,-13,-13,-13
522,-25,-25,-25,-25
523,-16,-16,-16,-16
524,-26,-26,-20,-20
526,-18,-18,-18,-18
527,-14,-14,-14,-14
528,-11,-11,-11,-11
529,-12,-12,-13,-13
530,-12,-12,-12,-12
531,-14,-14,-17,-17
532,-44,-44,-43,-43
533,-23,-23,-23,-23
534,-17,-17,-17,-17
535,-15,-15,-14,-14
536,-24,-24,-24,-24
537,-12,-12,-13,-13
538,-14,-14,-14,-14
539,-14,-14,-15,-15
540,-18,-18,-19,-19
541,-18,-18,-19,-19
542,-23,-23,-24,-24
543,-14,-14,-12,-12
544,-15,-15,-14,-14
545,-16,-16,-16,-16
546,-14,-14,-14,-14
547,-34,-34,-36,-36
548,-18,-18,-18,-18
549,-31,-31,-36,-36
550,-16,-16,-17,-17
552,-17,-17,-18,-18
553,-16,-16,-5,-5
554,-11,-11,-11,-11
556,-18,-18,-18,-18
557,-14,-14,-14,-14
558,-15,-15,-19,-19
559,-16,-16,-18,-18
560,-14,-14,-14,-14
561,-15,-15,-15,-15
562,-14,-14,-15,-15
563,-18,-18,-18,-18
564,-26,-26,-27,-27
566,-29,-29,-29,-29
568,-12,-12,-12,-12
569,-20,-20,-19,-19
570,-25,-25,-24,-24
571,-20,-20,-20,-20
572,-25,-25,-24,-24
573,-11,-11,-13,-13
574,-30,-30,-31,-31
576,-15,-15,-15,-15
577,-14,-14,-11,-11
578,-21,-21,-21,-21
579,-24,-24,-24,-24
580,-25,-25,-28,-28
581,-12,-12,-12,-12
583,-13,-13,-13,-13
584,-14,-14,-13,-13
586,-21,-21,-23,-23
587,-14,-14,-16,-16
588,-18,-18,-18,-18
589,-11,-11,-8,-8
590,-18,-18,-18,-18
591,-17,-17,-21,-21
592,-14,-14,-15,-15
593,-14,-14,-14,-14
594,-22,-22,-23,-23
595,-14,-14,-18,-18
596,-13,-13,-12,-12
597,-18,-18,-18,-18
598,-26,-26,-25,-25
599,-19,-19,-21,-21
600,-14,-14,-14,-14
601,-24,-24,-26,-26
602,-31,-31,-31,-31
603,-30,-30,-31,-31
604,-12,-12,-11,-11
605,-20,-20,-21,-21
606,-18,-18,-20,-20
607,-14,-14,-11,-11
608,-21,-21,-21,-21
609,-13,-13,-10,-10
610,-13,-13,-18,-18
611,-14,-14,-14,-14
612,-21,-21,-21,-21
613,-15,-15,-15,-15
614,-27,-27,-28,-28
615,-16,-16,-17,-17
616,-15,-15,-16,-16
617,-14,-14,-13,-13
618,-16,-16,-14,-14
619,-29,-29,-30,-30
620,-19,-19,-20,-20
621,-23,-23,-21,-21
622,-20,-20,-17,-17
623,-15,-15,-15,-15
624,-28,-28,-31,-31
625,-19,-19,-20,-20
626,-16,-16,-11,-11
627,-14,-14,-14,-14
628,-18,-18,-18,-18
629,-19,-19,-15,-15
630,-19,-19,-19,-19
631,-17,-17,-17,-17
632,-18,-18,-19,-19
633,-22,-22,-26,-26
634,-23,-23,-21,-21
635,-25,-25,-27,-27
636,-18,-18,-21,-21
637,-17,-17,-17,-17
638,-18,-18,-16,-16
639,-18,-18,-17,-17
640,-19,-19,-18,-18
641,-16,-16,-14,-14
642,-25,-25,-24,-24
643,-15,-15,-14,-14
644,-24,-24,-27,-27
645,-14,-14,-15,-15
646,-11,-11,-12,-12
647,-18,-18,-21,-21
648,-20,-20,-17,-17
649,-14,-14,-16,-16
650,-16,-16,-18,-18
651,-16,-16,-13,-13
652,-19,-19,-20,-20
653,-17,-17,-17,-17
654,-23,-23,-22,-22
655,-18,-18,-19,-19
656,-20,-20,-20,-20
657,-14,-14,-14,-14
658,-21,-21,-24,-24
659,-39,-39,-39,-39
660,-15,-15,-13,-13
661,-25,-25,-24,-24
662,-16,-16,-14,-14
663,-15,-15,-16,-16
664,-16,-16,-18,-18
665,-19,-19,-22,-22
666,-26,-26,-26,-26
667,-23,-23,-23,-23
668,-18,-18,-18,-18
669,-27,-27,-29,-29
670,-19,-19,-19,-19
671,-39,-39,-38,-38
672,-19,-19,-19,-19
673,-25,-25,-26,-26
674,-28,-28,-28,-28
675,-21,-21,-20,-20
676,-23,-23,-23,-23
677,-18,-18,-16,-16
678,-21,-21,-21,-21
679,-18,-18,-16,-16
680,-18,-18,-17,-17
681,-32,-32,-34,-34
682,-32,-32,-33,-33
683,-18,-18,-17,-17
684,-22,-22,-22,-22
685,-21,-21,-21,-21
686,-17,-17,-18,-18
687,-18,-18,-17,-17
688,-18,-18,-20,-20
689,-21,-21,-20,-20
690,-16,-16,-16,-16
691,-15,-15,-13,-13
692,-15,-15,-8,-8
693,-12,-12,-12,-12
694,-14,-14,-13,-13
695,-13,-13,-9,-9
696,-14,-14,-12,-12
697,-17,-17,-20,-20
698,-24,-24,-23,-23
699,-26,-26,-29,-29
700,-17,-17,-16,-16
701,-21,-21,-20,-20
702,-16,-16,-17,-17
703,-17,-17,-17,-17
704,-12,-12,-13,-13
706,-20,-20,-21,-21
707,-22,-22,-21,-21
708,-23,-23,-22,-22
709,-16,-16,-17,-17
710,-14,-14,-14,-14
711,-20,-20,-22,-22
712,-15,-15,-15,-15
713,-15,-15,-15,-15
714,-19,-19,-19,-19
715,-14,-14,-18,-18
716,-16,-16,-18,-18
717,-29,-29,-30,-30
718,-31,-31,-29,-29
719,-23,-23,-23,-23
720,-16,-16,-17,-17
721,-12,-12,-12,-12
722,-13,-13,-14,-14
723,-33,-33,-33,-33
724,-19,-19,-19,-19
725,-19,-19,-20,-20
726,-14,-14,-15,-15
727,-15,-15,-19,-19
728,-20,-20,-20,-20
729,-16,-16,-14,-14
730,-12,-12,-12,-12
731,-24,-24,-22,-22
732,-13,-13,-18,-18
733,-12,-12,-12,-12
734,-21,-21,-21,-21
735,-24,-24,-21,-21
736,-19,-19,-19,-19
737,-17,-17,-16,-16
738,-25,-25,-28,-28
739,-19,-19,-14,-14
740,-18,-18,-17,-17
741,-16,-16,-15,-15
742,-15,-15,-14,-14
743,-20,-20,-20,-20
744,-21,-21,-22,-22
745,-20,-20,-20,-20
746,-16,-16,-17,-17
747,-16,-16,-16,-16
748,-17,-17,-24,-24
749,-24,-24,-25,-25
750,-18,-18,-19,-19
751,-15,-15,-15,-15
752,-20,-20,-20,-20
753,-19,-19,-19,-19
754,-16,-16,-16,-16
755,-15,-15,-13,-13
756,-14,-14,-14,-14
757,-16,-16,-15,-15
758,-16,-16,-16,-16
759,-12,-12,-13,-13
760,-12,-12,-12,-12
761,-18,-18,-17,-17
762,-14,-14,-12,-12
