Station ID,Time,Out,In,Delta
0,2017-08-22 08:00:00,425,392,-33
0,2017-08-22 10:00:00,103,105,2
0,2017-08-22 12:00:00,132,126,-6
0,2017-08-22 14:00:00,116,101,-15
0,2017-08-22 16:00:00,319,237,-82
0,2017-08-22 18:00:00,333,392,59
0,2017-08-22 20:00:00,83,93,10
0,2017-08-22 22:00:00,48,45,-3
0,2017-08-23 00:00:00,17,17,0
0,2017-08-23 02:00:00,13,2,-11
0,2017-08-23 04:00:00,15,7,-8
0,2017-08-23 06:00:00,179,157,-22
0,2017-08-23 08:00:00,441,444,3
0,2017-08-23 10:00:00,108,112,4
0,2017-08-23 12:00:00,130,156,26
0,2017-08-23 14:00:00,140,101,-39
0,2017-08-23 16:00:00,315,277,-38
0,2017-08-23 18:00:00,363,352,-11
0,2017-08-23 20:00:00,128,158,30
0,2017-08-23 22:00:00,61,54,-7
0,2017-08-24 00:00:00,22,14,-8
0,2017-08-24 02:00:00,4,4,0
0,2017-08-24 04:00:00,11,6,-5
0,2017-08-24 06:00:00,168,148,-20
0,2017-08-24 08:00:00,415,386,-29
0,2017-08-24 10:00:00,121,113,-8
0,2017-08-24 12:00:00,130,125,-5
0,2017-08-24 14:00:00,132,108,-24
0,2017-08-24 16:00:00,266,236,-30
0,2017-08-24 18:00:00,313,327,14
0,2017-08-24 20:00:00,130,133,3
0,2017-08-24 22:00:00,77,89,12
0,2017-08-25 00:00:00,42,31,-11
0,2017-08-25 02:00:00,11,16,5
0,2017-08-25 04:00:00,9,6,-3
0,2017-08-25 06:00:00,144,119,-25
0,2017-08-25 08:00:00,342,302,-40
0,2017-08-25 10:00:00,105,103,-2
0,2017-08-25 12:00:00,164,132,-32
0,2017-08-25 14:00:00,155,152,-3
0,2017-08-25 16:00:00,279,286,7
0,2017-08-25 18:00:00,269,282,13
0,2017-08-25 20:00:00,104,150,46
0,2017-08-25 22:00:00,104,104,0
0,2017-08-26 00:00:00,85,59,-26
0,2017-08-26 02:00:00,46,35,-11
0,2017-08-26 04:00:00,24,12,-12
0,2017-08-26 06:00:00,28,20,-8
0,2017-08-26 08:00:00,80,56,-24
0,2017-08-26 10:00:00,138,141,3
0,2017-08-26 12:00:00,191,220,29
0,2017-08-26 14:00:00,212,220,8
0,2017-08-26 16:00:00,229,210,-19
0,2017-08-26 18:00:00,154,177,23
0,2017-08-26 20:00:00,79,93,14
0,2017-08-26 22:00:00,66,87,21
0,2017-08-27 00:00:00,68,46,-22
0,2017-08-27 02:00:00,41,28,-13
0,2017-08-27 04:00:00,24,16,-8
0,2017-08-27 06:00:00,26,32,6
0,2017-08-27 08:00:00,57,69,12
0,2017-08-27 10:00:00,153,150,-3
0,2017-08-27 12:00:00,193,208,15
0,2017-08-27 14:00:00,245,188,-57
0,2017-08-27 16:00:00,185,177,-8
0,2017-08-27 18:00:00,157,160,3
0,2017-08-27 20:00:00,105,163,58
0,2017-08-27 22:00:00,92,81,-11
0,2017-08-28 00:00:00,50,44,-6
0,2017-08-28 02:00:00,38,20,-18
0,2017-08-28 04:00:00,10,16,6
0,2017-08-28 06:00:00,18,35,17
0,2017-08-28 08:00:00,72,67,-5
0,2017-08-28 10:00:00,135,130,-5
0,2017-08-28 12:00:00,241,163,-78
0,2017-08-28 14:00:00,245,154,-91
0,2017-08-28 16:00:00,146,185,39
0,2017-08-28 18:00:00,162,194,32
0,2017-08-28 20:00:00,95,132,37
0,2017-08-28 22:00:00,44,57,13
0,2017-08-29 00:00:00,15,14,-1
0,2017-08-29 02:00:00,19,15,-4
0,2017-08-29 04:00:00,10,10,0
0,2017-08-29 06:00:00,161,136,-25
0,2017-08-29 08:00:00,400,399,-1
0,2017-08-29 10:00:00,110,108,-2
0,2017-08-29 12:00:00,142,122,-20
0,2017-08-29 14:00:00,130,132,2
0,2017-08-29 16:00:00,372,242,-130
0,2017-08-29 18:00:00,326,391,65
0,2017-08-29 20:00:00,109,119,10
0,2017-08-29 22:00:00,57,53,-4
0,2017-08-30 00:00:00,19,12,-7
0,2017-08-30 02:00:00,4,2,-2
0,2017-08-30 04:00:00,9,6,-3
0,2017-08-30 06:00:00,160,144,-16
0,2017-08-30 08:00:00,410,449,39
0,2017-08-30 10:00:00,76,84,8
0,2017-08-30 12:00:00,31,34,3
0,2017-08-30 14:00:00,27,18,-9
0,2017-08-30 16:00:00,179,140,-39
0,2017-08-30 18:00:00,263,276,13
0,2017-08-30 20:00:00,91,107,16
0,2017-08-30 22:00:00,71,41,-30
0,2017-08-31 00:00:00,22,13,-9
0,2017-08-31 02:00:00,8,2,-6
0,2017-08-31 04:00:00,5,6,1
0,2017-08-31 06:00:00,185,161,-24
0,2017-08-31 08:00:00,418,451,33
0,2017-08-31 10:00:00,110,103,-7
0,2017-08-31 12:00:00,121,125,4
0,2017-08-31 14:00:00,147,109,-38
0,2017-08-31 16:00:00,346,275,-71
0,2017-08-31 18:00:00,378,384,6
0,2017-08-31 20:00:00,130,130,0
0,2017-08-31 22:00:00,75,82,7
0,2017-09-01 00:00:00,45,19,-26
0,2017-09-01 02:00:00,19,16,-3
0,2017-09-01 04:00:00,7,6,-1
0,2017-09-01 06:00:00,145,146,1
0,2017-09-01 08:00:00,412,424,12
0,2017-09-01 10:00:00,122,115,-7
0,2017-09-01 12:00:00,147,148,1
0,2017-09-01 14:00:00,140,120,-20
0,2017-09-01 16:00:00,316,275,-41
0,2017-09-01 18:00:00,284,315,31
0,2017-09-01 20:00:00,87,125,38
0,2017-09-01 22:00:00,86,84,-2
0,2017-09-02 00:00:00,77,36,-41
0,2017-09-02 02:00:00,38,31,-7
0,2017-09-02 04:00:00,12,5,-7
0,2017-09-02 06:00:00,21,18,-3
0,2017-09-02 08:00:00,119,61,-58
0,2017-09-02 10:00:00,150,159,9
0,2017-09-02 12:00:00,274,241,-33
0,2017-09-02 14:00:00,277,250,-27
0,2017-09-02 16:00:00,243,271,28
0,2017-09-02 18:00:00,199,247,48
0,2017-09-02 20:00:00,90,106,16
0,2017-09-02 22:00:00,69,76,7
0,2017-09-03 00:00:00,69,49,-20
0,2017-09-03 02:00:00,59,17,-42
0,2017-09-03 04:00:00,15,8,-7
0,2017-09-03 06:00:00,19,9,-10
0,2017-09-03 08:00:00,61,81,20
0,2017-09-03 10:00:00,126,139,13
0,2017-09-03 12:00:00,189,227,38
0,2017-09-03 14:00:00,199,182,-17
0,2017-09-03 16:00:00,130,130,0
0,2017-09-03 18:00:00,79,88,9
0,2017-09-03 20:00:00,37,46,9
0,2017-09-03 22:00:00,24,22,-2
0,2017-09-04 00:00:00,9,2,-7
0,2017-09-04 02:00:00,2,0,-2
0,2017-09-04 04:00:00,6,4,-2
0,2017-09-04 06:00:00,102,111,9
0,2017-09-04 08:00:00,327,324,-3
0,2017-09-04 10:00:00,36,63,27
0,2017-09-04 12:00:00,74,88,14
0,2017-09-04 14:00:00,104,92,-12
0,2017-09-04 16:00:00,350,203,-147
0,2017-09-04 18:00:00,293,307,14
0,2017-09-04 20:00:00,89,91,2
0,2017-09-04 22:00:00,36,43,7
0,2017-09-05 00:00:00,9,10,1
0,2017-09-05 02:00:00,5,4,-1
0,2017-09-05 04:00:00,8,6,-2
0,2017-09-05 06:00:00,170,153,-17
0,2017-09-05 08:00:00,408,458,50
0,2017-09-05 10:00:00,79,121,42
0,2017-09-05 12:00:00,100,119,19
0,2017-09-05 14:00:00,111,96,-15
0,2017-09-05 16:00:00,289,199,-90
0,2017-09-05 18:00:00,327,324,-3
0,2017-09-05 20:00:00,98,96,-2
0,2017-09-05 22:00:00,46,41,-5
0,2017-09-06 00:00:00,19,18,-1
0,2017-09-06 02:00:00,5,7,2
0,2017-09-06 04:00:00,9,12,3
0,2017-09-06 06:00:00,207,177,-30
0,2017-09-06 08:00:00,462,474,12
0,2017-09-06 10:00:00,101,105,4
