Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
235,-25,-25,-24,-24,-24,-24,-22,-22
236,-20,-20,-22,-22,-22,-22,-20,-20
237,-21,-21,-24,-24,-24,-24,-19,-19
238,-22,-22,-21,-21,-22,-22,-20,-20
239,-16,-16,-17,-17,-18,-18,-16,-16
240,-9,-9,-8,-8,-8,-8,-7,-1
242,-16,-16,-15,-15,-17,-17,-15,-15
243,-16,-16,-20,-20,-19,-19,-14,-14
244,-11,-11,-13,-13,-12,-12,-11,-11
245,-20,-20,-20,-20,-20,-20,-15,-14
246,-28,-28,-32,-32,-33,-33,-31,-31
247,-34,-34,-35,-35,-36,-36,-35,-35
248,-18,-18,-18,-18,-18,-18,-16,-16
249,-29,-29,-28,-28,-28,-28,-27,-27
250,-7,-7,-7,-7,-7,-7,-7,-7
251,-21,-21,-23,-23,-23,-23,-20,-20
252,-20,-20,-17,-17,-17,-17,-16,-17
253,-21,-21,-21,-21,-21,-21,-12,-12
254,-11,-11,-11,-11,-11,-11,-7,-10
255,-15,-15,-16,-16,-15,-15,-9,-7
256,-10,-10,-10,-10,-10,-10,-10,-10
257,-10,-10,-11,-11,-12,-12,-10,-10
258,-16,-16,-16,-16,-16,-16,-16,-16
260,-11,-11,-12,-12,-12,-12,-11,-11
261,-9,-9,-11,-11,-12,-12,-10,-10
262,-24,-24,-24,-24,-24,-24,-22,-22
263,-14,-14,-14,-14,-14,-14,-13,-13
264,-13,-13,-14,-14,-13,-13,-10,-10
265,-11,-11,-12,-12,-12,-12,-6,-6
266,-28,-28,-28,-28,-28,-28,-29,-29
267,-15,-15,-15,-15,-14,-14,-9,-9
268,-19,-19,-22,-22,-22,-22,-18,-18
269,-31,-31,-30,-30,-30,-30,-27,-27
270,-20,-20,-23,-23,-22,-22,-15,-20
271,-22,-22,-22,-22,-22,-22,-21,-21
272,-13,-13,-13,-13,-15,-15,-6,-17
273,-25,-25,-23,-23,-21,-21,-21,-26
274,-24,-24,-24,-24,-26,-26,-25,-25
275,-13,-13,-13,-13,-13,-13,-12,-12
276,-16,-16,-14,-14,-14,-14,-14,-14
277,-11,-11,-11,-11,-11,-11,-7,-7
278,-9,-9,-10,-10,-9,-9,-7,-8
279,-17,-17,-17,-17,-17,-17,-11,-3
280,-7,-7,-7,-7,-7,-7,-7,-7
281,-12,-12,-12,-12,-12,-12,-11,-11
282,-28,-28,-29,-29,-30,-30,-24,-24
283,-11,-11,-11,-11,-11,-11,-10,-10
284,-14,-14,-15,-15,-16,-16,-15,-3
286,-24,-24,-24,-24,-24,-24,-20,-20
287,-16,-16,-16,-16,-16,-16,-16,-16
288,-22,-22,-22,-22,-21,-21,-21,-17
289,-10,-10,-10,-10,-10,-10,-10,-10
290,-9,-9,-10,-10,-10,-12,0,-7
291,-21,-21,-22,-22,-22,-22,-20,-20
292,-11,-11,-11,-11,-11,-11,-9,-9
293,-17,-17,-17,-17,-17,-17,-15,-15
294,-10,-10,-10,-10,-10,-10,-6,-6
295,-17,-17,-18,-18,-18,-18,-16,-16
296,-12,-12,-12,-12,-12,-12,-10,-10
297,-11,-11,-11,-11,-11,-11,-10,-10
298,-14,-14,-13,-13,-13,-13,-5,-13
299,-13,-13,-13,-13,-13,-13,-12,-12
301,-16,-16,-15,-15,-15,-15,-14,-14
302,-19,-19,-22,-22,-22,-22,-20,-20
303,-19,-19,-19,-19,-19,-19,-17,-17
305,-10,-10,-10,-10,-10,-10,-10,-10
306,-11,-11,-10,-10,-10,-10,-10,-10
307,-16,-16,-16,-16,-16,-16,-9,-19
308,-14,-14,-14,-14,-14,-14,-7,-6
309,-27,-27,-27,-27,-28,-28,-28,-6
310,-13,-13,-12,-12,-12,-12,-7,-7
312,-13,-13,-14,-14,-14,-14,-11,-11
313,-25,-25,-25,-25,-25,-25,-24,-24
314,-25,-25,-25,-25,-24,-24,-21,-17
315,-11,-11,-11,-11,-11,-11,-10,-10
317,-22,-22,-22,-22,-22,-22,-20,-20
318,-11,-11,-13,-13,-13,-13,-12,-12
319,-13,-13,-14,-14,-14,-14,-11,-11
320,-17,-17,-18,-18,-17,-17,-14,-14
321,-16,-16,-16,-16,-17,-17,-3,-8
322,-17,-17,-18,-18,-18,-18,-15,-15
323,-15,-15,-16,-16,-16,-16,-16,-16
324,-9,-9,-11,-11,-11,-11,-9,-9
325,-11,-11,-12,-12,-11,-11,-11,-11
326,-17,-17,-17,-17,-16,-16,-7,-11
327,-15,-15,-15,-15,-15,-15,-13,-13
328,-15,-15,-14,-14,-14,-14,-12,-12
329,-16,-16,-16,-16,-16,-16,-14,-14
330,-23,-23,-23,-23,-23,-23,-19,-14
331,-21,-21,-21,-21,-22,-22,-19,-19
332,-14,-14,-14,-14,-15,-15,-14,-14
333,-23,-23,-26,-26,-25,-25,-25,-19
334,-7,-7,-7,-7,-7,-7,-6,-4
335,-22,-22,-21,-21,-21,-21,-21,-21
336,-11,-11,-12,-12,-10,-10,-7,-8
337,-10,-10,-11,-11,-12,-12,-11,-11
338,-15,-15,-15,-15,-16,-16,-15,-15
339,-17,-17,-17,-17,-17,-17,-14,-14
340,-11,-11,-10,-10,-11,-11,-6,-6
341,-14,-14,-15,-15,-15,-15,-4,-13
343,-25,-25,-25,-25,-25,-25,-24,-24
344,-11,-11,-11,-11,-11,-11,-9,-9
345,-22,-22,-22,-22,-23,-23,-20,-20
347,-11,-11,-11,-11,-11,-11,-10,-4
348,-11,-11,-11,-11,-11,-11,-11,-11
349,-12,-12,-16,-16,-16,-16,-16,-16
350,-14,-14,-13,-13,-13,-13,-10,-10
351,-19,-19,-20,-20,-20,-20,-16,-16
352,-13,-13,-13,-13,-11,-11,-8,-8
353,-11,-11,-10,-10,-10,-10,-8,-8
354,-24,-24,-24,-24,-24,-24,-24,-24
355,-14,-14,-14,-14,-14,-14,-13,-13
356,-9,-9,-9,-9,-9,-9,-7,-7
357,-20,-20,-22,-22,-21,-21,-20,-20
358,-14,-14,-15,-15,-14,-14,-13,-13
359,-11,-11,-13,-13,-13,-13,-13,-13
360,-18,-18,-18,-18,-18,-18,-15,-15
361,-38,-38,-38,-38,-38,-34,1,-43
362,-39,-39,-40,-40,-38,-38,-37,-37
